prefix	lane_number	seq_id	sample_id	population	data_type
226_S224_L001_R2_001	1	226	226	DE	pe
226_S224_L002_R1_001	2	226	226	DE	pe
226_S224_L002_R2_001	2	226	226	DE	pe
227_S225_L001_R1_001	1	227	227	DE	pe
227_S225_L001_R2_001	1	227	227	DE	pe
227_S225_L002_R1_001	2	227	227	DE	pe
227_S225_L002_R2_001	2	227	227	DE	pe
228_S226_L001_R1_001	1	228	228	DE	pe
228_S226_L001_R2_001	1	228	228	DE	pe
228_S226_L002_R1_001	2	228	228	DE	pe
228_S226_L002_R2_001	2	228	228	DE	pe
229_S227_L001_R1_001	1	229	229	DE	pe
229_S227_L001_R2_001	1	229	229	DE	pe
229_S227_L002_R1_001	2	229	229	DE	pe
229_S227_L002_R2_001	2	229	229	DE	pe
22_S22_L001_R1_001	1	22	22	GA	pe
22_S22_L001_R2_001	1	22	22	GA	pe
22_S22_L002_R1_001	2	22	22	GA	pe
22_S22_L002_R2_001	2	22	22	GA	pe
230_S228_L001_R1_001	1	230	230	DE	pe
230_S228_L001_R2_001	1	230	230	DE	pe
230_S228_L002_R1_001	2	230	230	DE	pe
230_S228_L002_R2_001	2	230	230	DE	pe
231_S229_L001_R1_001	1	231	231	DE	pe
231_S229_L001_R2_001	1	231	231	DE	pe
231_S229_L002_R1_001	2	231	231	DE	pe
231_S229_L002_R2_001	2	231	231	DE	pe
232_S230_L001_R1_001	1	232	232	DE	pe
232_S230_L001_R2_001	1	232	232	DE	pe
232_S230_L002_R1_001	2	232	232	DE	pe
232_S230_L002_R2_001	2	232	232	DE	pe
233_S231_L001_R1_001	1	233	233	DE	pe
233_S231_L001_R2_001	1	233	233	DE	pe
233_S231_L002_R1_001	2	233	233	DE	pe
233_S231_L002_R2_001	2	233	233	DE	pe
234_S232_L001_R1_001	1	234	234	DE	pe
234_S232_L001_R2_001	1	234	234	DE	pe
234_S232_L002_R1_001	2	234	234	DE	pe
234_S232_L002_R2_001	2	234	234	DE	pe
235_S233_L001_R1_001	1	235	235	DE	pe
235_S233_L001_R2_001	1	235	235	DE	pe
235_S233_L002_R1_001	2	235	235	DE	pe
235_S233_L002_R2_001	2	235	235	DE	pe
236_S234_L001_R1_001	1	236	236	DE	pe
236_S234_L001_R2_001	1	236	236	DE	pe
236_S234_L002_R1_001	2	236	236	DE	pe
236_S234_L002_R2_001	2	236	236	DE	pe
237_S235_L001_R1_001	1	237	237	DE	pe
237_S235_L001_R2_001	1	237	237	DE	pe
237_S235_L002_R1_001	2	237	237	DE	pe
237_S235_L002_R2_001	2	237	237	DE	pe
238_S236_L001_R1_001	1	238	238	DE	pe
238_S236_L001_R2_001	1	238	238	DE	pe
238_S236_L002_R1_001	2	238	238	DE	pe
238_S236_L002_R2_001	2	238	238	DE	pe
239_S237_L001_R1_001	1	239	239	DE	pe
239_S237_L001_R2_001	1	239	239	DE	pe
239_S237_L002_R1_001	2	239	239	DE	pe
239_S237_L002_R2_001	2	239	239	DE	pe
23_S23_L001_R1_001	1	23	23	GA	pe
23_S23_L001_R2_001	1	23	23	GA	pe
23_S23_L002_R1_001	2	23	23	GA	pe
23_S23_L002_R2_001	2	23	23	GA	pe
240_S238_L001_R1_001	1	240	240	DE	pe
240_S238_L001_R2_001	1	240	240	DE	pe
240_S238_L002_R1_001	2	240	240	DE	pe
240_S238_L002_R2_001	2	240	240	DE	pe
241_S239_L001_R1_001	1	241	241	DE	pe
241_S239_L001_R2_001	1	241	241	DE	pe
241_S239_L002_R1_001	2	241	241	DE	pe
241_S239_L002_R2_001	2	241	241	DE	pe
242_S240_L001_R1_001	1	242	242	MD	pe
242_S240_L001_R2_001	1	242	242	MD	pe
242_S240_L002_R1_001	2	242	242	MD	pe
242_S240_L002_R2_001	2	242	242	MD	pe
243_S241_L001_R1_001	1	243	243	MD	pe
243_S241_L001_R2_001	1	243	243	MD	pe
243_S241_L002_R1_001	2	243	243	MD	pe
243_S241_L002_R2_001	2	243	243	MD	pe
244_S242_L001_R1_001	1	244	244	MD	pe
244_S242_L001_R2_001	1	244	244	MD	pe
244_S242_L002_R1_001	2	244	244	MD	pe
244_S242_L002_R2_001	2	244	244	MD	pe
245_S243_L001_R1_001	1	245	245	MD	pe
245_S243_L001_R2_001	1	245	245	MD	pe
245_S243_L002_R1_001	2	245	245	MD	pe
245_S243_L002_R2_001	2	245	245	MD	pe
246_S244_L001_R1_001	1	246	246	MD	pe
246_S244_L001_R2_001	1	246	246	MD	pe
246_S244_L002_R1_001	2	246	246	MD	pe
246_S244_L002_R2_001	2	246	246	MD	pe
247_S245_L001_R1_001	1	247	247	MD	pe
247_S245_L001_R2_001	1	247	247	MD	pe
247_S245_L002_R1_001	2	247	247	MD	pe
247_S245_L002_R2_001	2	247	247	MD	pe
248_S246_L001_R1_001	1	248	248	MD	pe
248_S246_L001_R2_001	1	248	248	MD	pe
248_S246_L002_R1_001	2	248	248	MD	pe
248_S246_L002_R2_001	2	248	248	MD	pe
249_S247_L001_R1_001	1	249	249	MD	pe
249_S247_L001_R2_001	1	249	249	MD	pe
249_S247_L002_R1_001	2	249	249	MD	pe
249_S247_L002_R2_001	2	249	249	MD	pe
24_S24_L001_R1_001	1	24	24	GA	pe
24_S24_L001_R2_001	1	24	24	GA	pe
24_S24_L002_R1_001	2	24	24	GA	pe
24_S24_L002_R2_001	2	24	24	GA	pe
250_S248_L001_R1_001	1	250	250	MD	pe
250_S248_L001_R2_001	1	250	250	MD	pe
250_S248_L002_R1_001	2	250	250	MD	pe
250_S248_L002_R2_001	2	250	250	MD	pe
251_S249_L001_R1_001	1	251	251	MD	pe
251_S249_L001_R2_001	1	251	251	MD	pe
251_S249_L002_R1_001	2	251	251	MD	pe
251_S249_L002_R2_001	2	251	251	MD	pe
252_S250_L001_R1_001	1	252	252	MD	pe
252_S250_L001_R2_001	1	252	252	MD	pe
252_S250_L002_R1_001	2	252	252	MD	pe
252_S250_L002_R2_001	2	252	252	MD	pe
253_S251_L001_R1_001	1	253	253	MD	pe
253_S251_L001_R2_001	1	253	253	MD	pe
253_S251_L002_R1_001	2	253	253	MD	pe
253_S251_L002_R2_001	2	253	253	MD	pe
254_S252_L001_R1_001	1	254	254	MD	pe
254_S252_L001_R2_001	1	254	254	MD	pe
254_S252_L002_R1_001	2	254	254	MD	pe
254_S252_L002_R2_001	2	254	254	MD	pe
255_S253_L001_R1_001	1	255	255	MD	pe
255_S253_L001_R2_001	1	255	255	MD	pe
255_S253_L002_R1_001	2	255	255	MD	pe
255_S253_L002_R2_001	2	255	255	MD	pe
256_S254_L001_R1_001	1	256	256	MD	pe
256_S254_L001_R2_001	1	256	256	MD	pe
256_S254_L002_R1_001	2	256	256	MD	pe
256_S254_L002_R2_001	2	256	256	MD	pe
257_S255_L001_R1_001	1	257	257	MD	pe
257_S255_L001_R2_001	1	257	257	MD	pe
257_S255_L002_R1_001	2	257	257	MD	pe
257_S255_L002_R2_001	2	257	257	MD	pe
258_S256_L001_R1_001	1	258	258	MD	pe
258_S256_L001_R2_001	1	258	258	MD	pe
258_S256_L002_R1_001	2	258	258	MD	pe
258_S256_L002_R2_001	2	258	258	MD	pe
259_S257_L001_R1_001	1	259	259	MD	pe
259_S257_L001_R2_001	1	259	259	MD	pe
259_S257_L002_R1_001	2	259	259	MD	pe
259_S257_L002_R2_001	2	259	259	MD	pe
25_S25_L001_R1_001	1	25	25	GA	pe
25_S25_L001_R2_001	1	25	25	GA	pe
25_S25_L002_R1_001	2	25	25	GA	pe
25_S25_L002_R2_001	2	25	25	GA	pe
260_S258_L001_R1_001	1	260	260	MD	pe
260_S258_L001_R2_001	1	260	260	MD	pe
260_S258_L002_R1_001	2	260	260	MD	pe
260_S258_L002_R2_001	2	260	260	MD	pe
261_S259_L001_R1_001	1	261	261	MD	pe
261_S259_L001_R2_001	1	261	261	MD	pe
261_S259_L002_R1_001	2	261	261	MD	pe
261_S259_L002_R2_001	2	261	261	MD	pe
262_S260_L001_R1_001	1	262	262	MD	pe
262_S260_L001_R2_001	1	262	262	MD	pe
262_S260_L002_R1_001	2	262	262	MD	pe
262_S260_L002_R2_001	2	262	262	MD	pe
263_S261_L001_R1_001	1	263	263	MD	pe
263_S261_L001_R2_001	1	263	263	MD	pe
263_S261_L002_R1_001	2	263	263	MD	pe
263_S261_L002_R2_001	2	263	263	MD	pe
264_S262_L001_R1_001	1	264	264	MD	pe
264_S262_L001_R2_001	1	264	264	MD	pe
264_S262_L002_R1_001	2	264	264	MD	pe
264_S262_L002_R2_001	2	264	264	MD	pe
265_S263_L001_R1_001	1	265	265	MD	pe
265_S263_L001_R2_001	1	265	265	MD	pe
265_S263_L002_R1_001	2	265	265	MD	pe
265_S263_L002_R2_001	2	265	265	MD	pe
266_S264_L001_R1_001	1	266	266	MD	pe
266_S264_L001_R2_001	1	266	266	MD	pe
266_S264_L002_R1_001	2	266	266	MD	pe
266_S264_L002_R2_001	2	266	266	MD	pe
267_S265_L001_R1_001	1	267	267	MD	pe
267_S265_L001_R2_001	1	267	267	MD	pe
267_S265_L002_R1_001	2	267	267	MD	pe
267_S265_L002_R2_001	2	267	267	MD	pe
268_S266_L001_R1_001	1	268	268	MD	pe
268_S266_L001_R2_001	1	268	268	MD	pe
268_S266_L002_R1_001	2	268	268	MD	pe
268_S266_L002_R2_001	2	268	268	MD	pe
269_S267_L001_R1_001	1	269	269	MD	pe
269_S267_L001_R2_001	1	269	269	MD	pe
269_S267_L002_R1_001	2	269	269	MD	pe
269_S267_L002_R2_001	2	269	269	MD	pe
26_S26_L001_R1_001	1	26	26	GA	pe
26_S26_L001_R2_001	1	26	26	GA	pe
26_S26_L002_R1_001	2	26	26	GA	pe
26_S26_L002_R2_001	2	26	26	GA	pe
270_S268_L001_R1_001	1	270	270	MD	pe
270_S268_L001_R2_001	1	270	270	MD	pe
270_S268_L002_R1_001	2	270	270	MD	pe
270_S268_L002_R2_001	2	270	270	MD	pe
271_S269_L001_R1_001	1	271	271	MD	pe
271_S269_L001_R2_001	1	271	271	MD	pe
271_S269_L002_R1_001	2	271	271	MD	pe
271_S269_L002_R2_001	2	271	271	MD	pe
272_S270_L001_R1_001	1	272	272	MD	pe
272_S270_L001_R2_001	1	272	272	MD	pe
272_S270_L002_R1_001	2	272	272	MD	pe
272_S270_L002_R2_001	2	272	272	MD	pe
273_S271_L001_R1_001	1	273	273	MD	pe
273_S271_L001_R2_001	1	273	273	MD	pe
273_S271_L002_R1_001	2	273	273	MD	pe
273_S271_L002_R2_001	2	273	273	MD	pe
274_S272_L001_R1_001	1	274	274	MD	pe
274_S272_L001_R2_001	1	274	274	MD	pe
274_S272_L002_R1_001	2	274	274	MD	pe
274_S272_L002_R2_001	2	274	274	MD	pe
275_S273_L001_R1_001	1	275	275	MD	pe
275_S273_L001_R2_001	1	275	275	MD	pe
275_S273_L002_R1_001	2	275	275	MD	pe
275_S273_L002_R2_001	2	275	275	MD	pe
276_S274_L001_R1_001	1	276	276	MD	pe
276_S274_L001_R2_001	1	276	276	MD	pe
276_S274_L002_R1_001	2	276	276	MD	pe
276_S274_L002_R2_001	2	276	276	MD	pe
277_S275_L001_R1_001	1	277	277	MD	pe
277_S275_L001_R2_001	1	277	277	MD	pe
277_S275_L002_R1_001	2	277	277	MD	pe
277_S275_L002_R2_001	2	277	277	MD	pe
278_S276_L001_R1_001	1	278	278	MD	pe
278_S276_L001_R2_001	1	278	278	MD	pe
278_S276_L002_R1_001	2	278	278	MD	pe
278_S276_L002_R2_001	2	278	278	MD	pe
279_S277_L001_R1_001	1	279	279	MD	pe
279_S277_L001_R2_001	1	279	279	MD	pe
279_S277_L002_R1_001	2	279	279	MD	pe
279_S277_L002_R2_001	2	279	279	MD	pe
27_S27_L001_R1_001	1	27	27	GA	pe
27_S27_L001_R2_001	1	27	27	GA	pe
27_S27_L002_R1_001	2	27	27	GA	pe
27_S27_L002_R2_001	2	27	27	GA	pe
280_S278_L001_R1_001	1	280	280	MD	pe
280_S278_L001_R2_001	1	280	280	MD	pe
280_S278_L002_R1_001	2	280	280	MD	pe
280_S278_L002_R2_001	2	280	280	MD	pe
281_S279_L001_R1_001	1	281	281	MD	pe
281_S279_L001_R2_001	1	281	281	MD	pe
281_S279_L002_R1_001	2	281	281	MD	pe
281_S279_L002_R2_001	2	281	281	MD	pe
282_S280_L001_R1_001	1	282	282	MD	pe
282_S280_L001_R2_001	1	282	282	MD	pe
282_S280_L002_R1_001	2	282	282	MD	pe
282_S280_L002_R2_001	2	282	282	MD	pe
283_S281_L001_R1_001	1	283	283	MD	pe
283_S281_L001_R2_001	1	283	283	MD	pe
283_S281_L002_R1_001	2	283	283	MD	pe
283_S281_L002_R2_001	2	283	283	MD	pe
284_S282_L001_R1_001	1	284	284	MD	pe
284_S282_L001_R2_001	1	284	284	MD	pe
284_S282_L002_R1_001	2	284	284	MD	pe
284_S282_L002_R2_001	2	284	284	MD	pe
285_S283_L001_R1_001	1	285	285	VA	pe
285_S283_L001_R2_001	1	285	285	VA	pe
285_S283_L002_R1_001	2	285	285	VA	pe
285_S283_L002_R2_001	2	285	285	VA	pe
286_S284_L001_R1_001	1	286	286	VA	pe
286_S284_L001_R2_001	1	286	286	VA	pe
286_S284_L002_R1_001	2	286	286	VA	pe
286_S284_L002_R2_001	2	286	286	VA	pe
287_S285_L001_R1_001	1	287	287	VA	pe
287_S285_L001_R2_001	1	287	287	VA	pe
287_S285_L002_R1_001	2	287	287	VA	pe
287_S285_L002_R2_001	2	287	287	VA	pe
288_S399_L001_R1_001	1	288	288	VA	pe
288_S399_L001_R2_001	1	288	288	VA	pe
288_S399_L002_R1_001	2	288	288	VA	pe
288_S399_L002_R2_001	2	288	288	VA	pe
289_S286_L001_R1_001	1	289	289	VA	pe
289_S286_L001_R2_001	1	289	289	VA	pe
289_S286_L002_R1_001	2	289	289	VA	pe
289_S286_L002_R2_001	2	289	289	VA	pe
28_S28_L001_R1_001	1	28	28	GA	pe
28_S28_L001_R2_001	1	28	28	GA	pe
28_S28_L002_R1_001	2	28	28	GA	pe
28_S28_L002_R2_001	2	28	28	GA	pe
290_S287_L001_R1_001	1	290	290	VA	pe
290_S287_L001_R2_001	1	290	290	VA	pe
290_S287_L002_R1_001	2	290	290	VA	pe
290_S287_L002_R2_001	2	290	290	VA	pe
291_S288_L001_R1_001	1	291	291	VA	pe
291_S288_L001_R2_001	1	291	291	VA	pe
291_S288_L002_R1_001	2	291	291	VA	pe
291_S288_L002_R2_001	2	291	291	VA	pe
292_S289_L001_R1_001	1	292	292	VA	pe
292_S289_L001_R2_001	1	292	292	VA	pe
292_S289_L002_R1_001	2	292	292	VA	pe
292_S289_L002_R2_001	2	292	292	VA	pe
293_S290_L001_R1_001	1	293	293	VA	pe
293_S290_L001_R2_001	1	293	293	VA	pe
293_S290_L002_R1_001	2	293	293	VA	pe
293_S290_L002_R2_001	2	293	293	VA	pe
294_S291_L001_R1_001	1	294	294	VA	pe
294_S291_L001_R2_001	1	294	294	VA	pe
294_S291_L002_R1_001	2	294	294	VA	pe
294_S291_L002_R2_001	2	294	294	VA	pe
295_S292_L001_R1_001	1	295	295	VA	pe
295_S292_L001_R2_001	1	295	295	VA	pe
295_S292_L002_R1_001	2	295	295	VA	pe
295_S292_L002_R2_001	2	295	295	VA	pe
296_S293_L001_R1_001	1	296	296	VA	pe
296_S293_L001_R2_001	1	296	296	VA	pe
296_S293_L002_R1_001	2	296	296	VA	pe
296_S293_L002_R2_001	2	296	296	VA	pe
297_S294_L001_R1_001	1	297	297	VA	pe
297_S294_L001_R2_001	1	297	297	VA	pe
297_S294_L002_R1_001	2	297	297	VA	pe
297_S294_L002_R2_001	2	297	297	VA	pe
298_S295_L001_R1_001	1	298	298	VA	pe
298_S295_L001_R2_001	1	298	298	VA	pe
298_S295_L002_R1_001	2	298	298	VA	pe
298_S295_L002_R2_001	2	298	298	VA	pe
299_S296_L001_R1_001	1	299	299	VA	pe
299_S296_L001_R2_001	1	299	299	VA	pe
299_S296_L002_R1_001	2	299	299	VA	pe
299_S296_L002_R2_001	2	299	299	VA	pe
29_S29_L001_R1_001	1	29	29	GA	pe
29_S29_L001_R2_001	1	29	29	GA	pe
29_S29_L002_R1_001	2	29	29	GA	pe
29_S29_L002_R2_001	2	29	29	GA	pe
2_S2_L001_R1_001	1	2	2	GA	pe
2_S2_L001_R2_001	1	2	2	GA	pe
2_S2_L002_R1_001	2	2	2	GA	pe
2_S2_L002_R2_001	2	2	2	GA	pe
300_S297_L001_R1_001	1	300	300	VA	pe
300_S297_L001_R2_001	1	300	300	VA	pe
300_S297_L002_R1_001	2	300	300	VA	pe
300_S297_L002_R2_001	2	300	300	VA	pe
301_S298_L001_R1_001	1	301	301	VA	pe
301_S298_L001_R2_001	1	301	301	VA	pe
301_S298_L002_R1_001	2	301	301	VA	pe
301_S298_L002_R2_001	2	301	301	VA	pe
302_S299_L001_R1_001	1	302	302	VA	pe
302_S299_L001_R2_001	1	302	302	VA	pe
302_S299_L002_R1_001	2	302	302	VA	pe
302_S299_L002_R2_001	2	302	302	VA	pe
303_S300_L001_R1_001	1	303	303	VA	pe
303_S300_L001_R2_001	1	303	303	VA	pe
303_S300_L002_R1_001	2	303	303	VA	pe
303_S300_L002_R2_001	2	303	303	VA	pe
304_S301_L001_R1_001	1	304	304	VA	pe
304_S301_L001_R2_001	1	304	304	VA	pe
304_S301_L002_R1_001	2	304	304	VA	pe
304_S301_L002_R2_001	2	304	304	VA	pe
305_S302_L001_R1_001	1	305	305	VA	pe
305_S302_L001_R2_001	1	305	305	VA	pe
305_S302_L002_R1_001	2	305	305	VA	pe
305_S302_L002_R2_001	2	305	305	VA	pe
306_S303_L001_R1_001	1	306	306	VA	pe
306_S303_L001_R2_001	1	306	306	VA	pe
306_S303_L002_R1_001	2	306	306	VA	pe
306_S303_L002_R2_001	2	306	306	VA	pe
307_S304_L001_R1_001	1	307	307	VA	pe
307_S304_L001_R2_001	1	307	307	VA	pe
307_S304_L002_R1_001	2	307	307	VA	pe
307_S304_L002_R2_001	2	307	307	VA	pe
308_S305_L001_R1_001	1	308	308	VA	pe
308_S305_L001_R2_001	1	308	308	VA	pe
308_S305_L002_R1_001	2	308	308	VA	pe
308_S305_L002_R2_001	2	308	308	VA	pe
309_S306_L001_R1_001	1	309	309	VA	pe
309_S306_L001_R2_001	1	309	309	VA	pe
309_S306_L002_R1_001	2	309	309	VA	pe
309_S306_L002_R2_001	2	309	309	VA	pe
30_S30_L001_R1_001	1	30	30	GA	pe
30_S30_L001_R2_001	1	30	30	GA	pe
30_S30_L002_R1_001	2	30	30	GA	pe
30_S30_L002_R2_001	2	30	30	GA	pe
310_S307_L001_R1_001	1	310	310	VA	pe
310_S307_L001_R2_001	1	310	310	VA	pe
310_S307_L002_R1_001	2	310	310	VA	pe
310_S307_L002_R2_001	2	310	310	VA	pe
311_S308_L001_R1_001	1	311	311	VA	pe
311_S308_L001_R2_001	1	311	311	VA	pe
311_S308_L002_R1_001	2	311	311	VA	pe
311_S308_L002_R2_001	2	311	311	VA	pe
312_S309_L001_R1_001	1	312	312	VA	pe
312_S309_L001_R2_001	1	312	312	VA	pe
312_S309_L002_R1_001	2	312	312	VA	pe
312_S309_L002_R2_001	2	312	312	VA	pe
313_S310_L001_R1_001	1	313	313	VA	pe
313_S310_L001_R2_001	1	313	313	VA	pe
313_S310_L002_R1_001	2	313	313	VA	pe
313_S310_L002_R2_001	2	313	313	VA	pe
314_S311_L001_R1_001	1	314	314	VA	pe
314_S311_L001_R2_001	1	314	314	VA	pe
314_S311_L002_R1_001	2	314	314	VA	pe
314_S311_L002_R2_001	2	314	314	VA	pe
315_S312_L001_R1_001	1	315	315	VA	pe
315_S312_L001_R2_001	1	315	315	VA	pe
315_S312_L002_R1_001	2	315	315	VA	pe
315_S312_L002_R2_001	2	315	315	VA	pe
316_S313_L001_R1_001	1	316	316	VA	pe
316_S313_L001_R2_001	1	316	316	VA	pe
316_S313_L002_R1_001	2	316	316	VA	pe
316_S313_L002_R2_001	2	316	316	VA	pe
317_S314_L001_R1_001	1	317	317	VA	pe
317_S314_L001_R2_001	1	317	317	VA	pe
317_S314_L002_R1_001	2	317	317	VA	pe
317_S314_L002_R2_001	2	317	317	VA	pe
318_S315_L001_R1_001	1	318	318	VA	pe
318_S315_L001_R2_001	1	318	318	VA	pe
318_S315_L002_R1_001	2	318	318	VA	pe
318_S315_L002_R2_001	2	318	318	VA	pe
319_S316_L001_R1_001	1	319	319	VA	pe
319_S316_L001_R2_001	1	319	319	VA	pe
319_S316_L002_R1_001	2	319	319	VA	pe
319_S316_L002_R2_001	2	319	319	VA	pe
31_S31_L001_R1_001	1	31	31	GA	pe
31_S31_L001_R2_001	1	31	31	GA	pe
31_S31_L002_R1_001	2	31	31	GA	pe
31_S31_L002_R2_001	2	31	31	GA	pe
320_S317_L001_R1_001	1	320	320	VA	pe
320_S317_L001_R2_001	1	320	320	VA	pe
320_S317_L002_R1_001	2	320	320	VA	pe
320_S317_L002_R2_001	2	320	320	VA	pe
321_S318_L001_R1_001	1	321	321	VA	pe
321_S318_L001_R2_001	1	321	321	VA	pe
321_S318_L002_R1_001	2	321	321	VA	pe
321_S318_L002_R2_001	2	321	321	VA	pe
322_S319_L001_R1_001	1	322	322	VA	pe
322_S319_L001_R2_001	1	322	322	VA	pe
322_S319_L002_R1_001	2	322	322	VA	pe
322_S319_L002_R2_001	2	322	322	VA	pe
323_S320_L001_R1_001	1	323	323	VA	pe
323_S320_L001_R2_001	1	323	323	VA	pe
323_S320_L002_R1_001	2	323	323	VA	pe
323_S320_L002_R2_001	2	323	323	VA	pe
324_S321_L001_R1_001	1	324	324	VA	pe
324_S321_L001_R2_001	1	324	324	VA	pe
324_S321_L002_R1_001	2	324	324	VA	pe
324_S321_L002_R2_001	2	324	324	VA	pe
325_S322_L001_R1_001	1	325	325	VA	pe
325_S322_L001_R2_001	1	325	325	VA	pe
325_S322_L002_R1_001	2	325	325	VA	pe
325_S322_L002_R2_001	2	325	325	VA	pe
326_S323_L001_R1_001	1	326	326	VA	pe
326_S323_L001_R2_001	1	326	326	VA	pe
326_S323_L002_R1_001	2	326	326	VA	pe
326_S323_L002_R2_001	2	326	326	VA	pe
327_S324_L001_R1_001	1	327	327	VA	pe
327_S324_L001_R2_001	1	327	327	VA	pe
327_S324_L002_R1_001	2	327	327	VA	pe
327_S324_L002_R2_001	2	327	327	VA	pe
328_S325_L001_R1_001	1	328	328	VA	pe
328_S325_L001_R2_001	1	328	328	VA	pe
328_S325_L002_R1_001	2	328	328	VA	pe
328_S325_L002_R2_001	2	328	328	VA	pe
329_S326_L001_R1_001	1	329	329	VA	pe
329_S326_L001_R2_001	1	329	329	VA	pe
329_S326_L002_R1_001	2	329	329	VA	pe
329_S326_L002_R2_001	2	329	329	VA	pe
32_S32_L001_R1_001	1	32	32	GA	pe
32_S32_L001_R2_001	1	32	32	GA	pe
32_S32_L002_R1_001	2	32	32	GA	pe
32_S32_L002_R2_001	2	32	32	GA	pe
330_S327_L001_R1_001	1	330	330	VA	pe
330_S327_L001_R2_001	1	330	330	VA	pe
330_S327_L002_R1_001	2	330	330	VA	pe
330_S327_L002_R2_001	2	330	330	VA	pe
331_S328_L001_R1_001	1	331	331	VA	pe
331_S328_L001_R2_001	1	331	331	VA	pe
331_S328_L002_R1_001	2	331	331	VA	pe
331_S328_L002_R2_001	2	331	331	VA	pe
332_S329_L001_R1_001	1	332	332	VA	pe
332_S329_L001_R2_001	1	332	332	VA	pe
332_S329_L002_R1_001	2	332	332	VA	pe
332_S329_L002_R2_001	2	332	332	VA	pe
333_S330_L001_R1_001	1	333	333	VA	pe
333_S330_L001_R2_001	1	333	333	VA	pe
333_S330_L002_R1_001	2	333	333	VA	pe
333_S330_L002_R2_001	2	333	333	VA	pe
334_S331_L001_R1_001	1	334	334	VA	pe
334_S331_L001_R2_001	1	334	334	VA	pe
334_S331_L002_R1_001	2	334	334	VA	pe
334_S331_L002_R2_001	2	334	334	VA	pe
335_S332_L001_R1_001	1	335	335	VA	pe
335_S332_L001_R2_001	1	335	335	VA	pe
335_S332_L002_R1_001	2	335	335	VA	pe
335_S332_L002_R2_001	2	335	335	VA	pe
336_S333_L001_R1_001	1	336	336	VA	pe
336_S333_L001_R2_001	1	336	336	VA	pe
336_S333_L002_R1_001	2	336	336	VA	pe
336_S333_L002_R2_001	2	336	336	VA	pe
337_S334_L001_R1_001	1	337	337	VA	pe
337_S334_L001_R2_001	1	337	337	VA	pe
337_S334_L002_R1_001	2	337	337	VA	pe
337_S334_L002_R2_001	2	337	337	VA	pe
338_S335_L001_R1_001	1	338	338	VA	pe
338_S335_L001_R2_001	1	338	338	VA	pe
338_S335_L002_R1_001	2	338	338	VA	pe
338_S335_L002_R2_001	2	338	338	VA	pe
339_S336_L001_R1_001	1	339	339	VA	pe
339_S336_L001_R2_001	1	339	339	VA	pe
339_S336_L002_R1_001	2	339	339	VA	pe
339_S336_L002_R2_001	2	339	339	VA	pe
33_S33_L001_R1_001	1	33	33	GA	pe
33_S33_L001_R2_001	1	33	33	GA	pe
33_S33_L002_R1_001	2	33	33	GA	pe
33_S33_L002_R2_001	2	33	33	GA	pe
340_S337_L001_R1_001	1	340	340	VA	pe
340_S337_L001_R2_001	1	340	340	VA	pe
340_S337_L002_R1_001	2	340	340	VA	pe
340_S337_L002_R2_001	2	340	340	VA	pe
341_S338_L001_R1_001	1	341	341	VA	pe
341_S338_L001_R2_001	1	341	341	VA	pe
341_S338_L002_R1_001	2	341	341	VA	pe
341_S338_L002_R2_001	2	341	341	VA	pe
342_S339_L001_R1_001	1	342	342	VA	pe
342_S339_L001_R2_001	1	342	342	VA	pe
342_S339_L002_R1_001	2	342	342	VA	pe
342_S339_L002_R2_001	2	342	342	VA	pe
343_S340_L001_R1_001	1	343	343	VA	pe
343_S340_L001_R2_001	1	343	343	VA	pe
343_S340_L002_R1_001	2	343	343	VA	pe
343_S340_L002_R2_001	2	343	343	VA	pe
344_S341_L001_R1_001	1	344	344	VA	pe
344_S341_L001_R2_001	1	344	344	VA	pe
344_S341_L002_R1_001	2	344	344	VA	pe
344_S341_L002_R2_001	2	344	344	VA	pe
345_S342_L001_R1_001	1	345	345	VA	pe
345_S342_L001_R2_001	1	345	345	VA	pe
345_S342_L002_R1_001	2	345	345	VA	pe
345_S342_L002_R2_001	2	345	345	VA	pe
346_S343_L001_R1_001	1	346	346	VA	pe
346_S343_L001_R2_001	1	346	346	VA	pe
346_S343_L002_R1_001	2	346	346	VA	pe
346_S343_L002_R2_001	2	346	346	VA	pe
347_S344_L001_R1_001	1	347	347	VA	pe
347_S344_L001_R2_001	1	347	347	VA	pe
347_S344_L002_R1_001	2	347	347	VA	pe
347_S344_L002_R2_001	2	347	347	VA	pe
348_S345_L001_R1_001	1	348	348	VA	pe
348_S345_L001_R2_001	1	348	348	VA	pe
348_S345_L002_R1_001	2	348	348	VA	pe
348_S345_L002_R2_001	2	348	348	VA	pe
349_S346_L001_R1_001	1	349	349	VA	pe
349_S346_L001_R2_001	1	349	349	VA	pe
349_S346_L002_R1_001	2	349	349	VA	pe
349_S346_L002_R2_001	2	349	349	VA	pe
34_S34_L001_R1_001	1	34	34	GA	pe
34_S34_L001_R2_001	1	34	34	GA	pe
34_S34_L002_R1_001	2	34	34	GA	pe
34_S34_L002_R2_001	2	34	34	GA	pe
350_S347_L001_R1_001	1	350	350	VA	pe
350_S347_L001_R2_001	1	350	350	VA	pe
350_S347_L002_R1_001	2	350	350	VA	pe
350_S347_L002_R2_001	2	350	350	VA	pe
351_S348_L001_R1_001	1	351	351	VA	pe
351_S348_L001_R2_001	1	351	351	VA	pe
351_S348_L002_R1_001	2	351	351	VA	pe
351_S348_L002_R2_001	2	351	351	VA	pe
